Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-06-21 18:05:45,NQ,30495.25,20.0,0.0,0,0,0,0
2026-06-21 18:06:45,NQ,30460.0,50.0,0.0,0,1,0,0
2026-06-21 18:07:45,NQ,30482.25,40.0,0.0,0,0,0,0
2026-06-21 18:08:45,NQ,30488.25,0.0,60.0,0,0,0,0
2026-06-21 18:09:45,NQ,30488.5,40.0,60.0,0,0,0,0
2026-06-21 18:10:45,NQ,30465.75,30.0,35.0,0,0,0,0
2026-06-21 18:11:45,NQ,30447.25,30.0,35.0,0,0,0,0
2026-06-21 18:12:45,NQ,30473.25,20.0,0.0,0,0,0,0
2026-06-21 18:13:45,NQ,30469.0,50.0,0.0,0,1,0,0
2026-06-21 18:14:45,NQ,30453.25,50.0,15.0,0,1,0,0
2026-06-21 18:15:45,NQ,30438.25,30.0,35.0,0,0,0,0
2026-06-21 18:16:45,NQ,30437.75,50.0,0.0,0,1,0,0
2026-06-21 18:17:45,NQ,30432.25,50.0,0.0,0,1,0,0
2026-06-21 18:18:45,NQ,30430.75,50.0,0.0,0,1,0,0
2026-06-21 18:19:45,NQ,30434.0,20.0,0.0,0,0,0,0
2026-06-21 18:20:45,NQ,30438.5,20.0,40.0,0,0,0,0
2026-06-21 18:21:46,NQ,30443.75,0.0,60.0,0,0,0,0
2026-06-21 18:22:46,NQ,30441.5,30.0,60.0,0,0,0,0
2026-06-21 18:23:46,NQ,30450.25,0.0,35.0,0,0,0,0
2026-06-21 18:24:45,NQ,30453.5,0.0,0.0,0,0,0,0
2026-06-21 18:25:45,NQ,30448.75,30.0,35.0,0,0,0,0
2026-06-21 18:26:45,NQ,30432.5,30.0,0.0,0,0,0,0
2026-06-21 18:27:45,NQ,30437.0,0.0,0.0,0,0,0,0
2026-06-21 18:28:45,NQ,30436.0,30.0,35.0,0,0,0,0
2026-06-21 18:29:45,NQ,30434.0,30.0,0.0,0,0,0,0
2026-06-21 18:30:45,NQ,30426.0,70.0,0.0,0,1,0,0
2026-06-21 18:31:45,NQ,30412.75,50.0,0.0,0,1,0,0
2026-06-21 18:32:45,NQ,30414.75,40.0,0.0,0,0,0,0
2026-06-21 18:33:45,NQ,30413.75,70.0,0.0,0,1,0,0
2026-06-21 18:34:45,NQ,30409.0,70.0,0.0,0,1,0,0
2026-06-21 18:35:45,NQ,30403.25,70.0,35.0,0,1,0,0
2026-06-21 18:36:45,NQ,30378.75,30.0,35.0,0,0,0,0
2026-06-21 18:37:45,NQ,30380.75,0.0,35.0,0,0,0,0
2026-06-21 18:38:45,NQ,30383.0,40.0,35.0,0,0,0,0
2026-06-21 18:39:45,NQ,30381.5,50.0,0.0,0,1,0,0
2026-06-21 18:40:45,NQ,30379.0,50.0,0.0,0,1,0,0
2026-06-21 18:41:45,NQ,30373.5,50.0,35.0,0,1,0,0
2026-06-21 18:42:45,NQ,30382.0,20.0,35.0,0,0,0,0
2026-06-21 18:43:45,NQ,30384.5,20.0,15.0,0,0,0,0
2026-06-21 18:44:45,NQ,30379.25,50.0,0.0,0,1,0,0
2026-06-21 18:45:45,NQ,30397.0,20.0,35.0,0,0,0,0
2026-06-21 18:46:45,NQ,30382.75,50.0,0.0,0,1,0,0
2026-06-21 18:47:45,NQ,30371.75,30.0,15.0,0,0,0,0
2026-06-21 18:48:45,NQ,30361.5,30.0,35.0,0,0,0,0
2026-06-21 18:49:45,NQ,30360.5,30.0,0.0,0,0,0,0
2026-06-21 18:50:45,NQ,30360.0,30.0,0.0,0,0,0,0
2026-06-21 18:51:45,NQ,30362.0,0.0,35.0,0,0,0,0
2026-06-21 18:52:45,NQ,30354.5,30.0,0.0,0,0,0,0
2026-06-21 18:53:45,NQ,30360.0,0.0,15.0,0,0,0,0
